parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0
589.0506,9.766993,1064.6194,37066.66,76.03953,24626.016,1.6275573,120.664795,0.33627573,0.3367608,0.5762001,0.06796987,0.00656257,0.00020879753,0.0034428455,0.0006502179,-3.3499539e-06,167.26979,41.685013,234.05919,13.86295,0.8339205,61.757084,59.16638,51.543015,0.0039564576,79.39111,0.377487,6.249987,0.19159837
412.01108,9.79894,1010.1445,3856.0623,210.68071,25221.225,2.7473812,124.563644,0.34294045,0.2623464,0.5289367,0.067903966,0.0045554177,0.0002401665,0.003856506,-0.0011394126,1.5799531e-05,171.03232,29.02914,256.81256,35.087242,0.9102615,53.416424,47.27083,50.325745,0.0017234491,65.875015,1.2153113,2.7452993,0.20311743
275.95633,8.908825,935.12134,28344.846,36.03334,41208.016,1.497006,124.04289,0.3224828,0.28798318,0.5046533,0.06737306,0.0030414239,0.00019420702,0.0052115466,0.00016016909,5.1985757e-05,167.25546,32.72636,250.51054,28.992014,0.8549814,56.386448,57.41275,39.664444,0.0025726669,95.08277,0.9544179,4.6945243,0.18373486
408.6846,10.000317,975.9649,40589.41,77.056274,24301.55,1.3293147,130.34871,0.30588165,0.26715806,0.4622295,0.07761296,0.002929698,0.00037764976,0.0027979491,0.0012967008,6.3048006e-05,178.23445,54.13188,224.77893,24.895912,0.8994116,53.5359,66.86496,37.41279,0.0024824757,70.58945,0.16632496,4.8706436,0.3172968
301.69458,9.439863,1217.3939,11112.241,-19.962914,37380.3,2.1233547,116.07011,0.37300685,0.41050404,0.47318125,0.07456765,0.0041454495,0.00011264228,0.0026988864,0.00032690057,5.867661e-05,169.08026,49.330875,225.27966,9.74627,0.84636974,50.4384,62.38083,30.525305,0.0041595255,71.611084,1.1713353,5.2450914,0.26227155
270.48242,9.65817,954.9112,29869.092,-277.427,42541.637,1.8811415,116.38486,0.33446303,0.3393059,0.460036,0.0750879,0.005399026,0.0002354219,0.0026851182,0.0013321965,9.0248126e-05,166.79646,47.64575,224.85094,12.131234,0.9336268,49.402943,61.40043,47.784027,0.0039069247,89.57281,0.0011721862,7.4178944,0.030281493
402.03946,12.050809,1204.6234,19618.604,-134.81355,28148.691,1.6638048,126.8534,0.33740503,0.31676728,0.44122574,0.06438089,0.004921312,5.4006632e-05,0.0030012494,-0.0010450539,0.000106170795,189.20993,55.52913,246.04446,28.793592,0.8324153,55.901543,69.37411,52.31686,0.0032158014,80.27581,0.62363744,4.9584327,0.07804991
454.8025,10.680431,1389.4095,17803.191,-182.33098,33901.305,2.0333402,124.50559,0.31537306,0.38574684,0.43991312,0.0720097,0.004299222,9.90732e-05,0.0023639775,-0.00015534865,0.00012616359,169.21474,31.081259,247.83511,21.201557,0.86804163,69.871284,54.71365,44.63591,0.0033072736,73.40724,-0.074879885,5.459296,-0.04591395
454.23837,10.209981,1394.0248,24037.408,213.42284,16660.436,2.8283594,108.9605,0.2752476,0.4124203,0.5096206,0.068411715,0.004904955,0.00024139334,0.0018328443,-0.0009217553,-9.8545235e-05,179.41736,35.15569,236.90735,29.712187,0.9709509,61.615993,53.640594,52.941147,0.0020843674,93.96254,0.9940432,5.128185,-0.018269667
328.54962,10.288446,1214.4766,27584.27,18.782656,20549.863,1.8608376,104.989204,0.32635394,0.2986382,0.4809829,0.074039824,0.0037517701,0.00022706897,0.002565356,-0.0007192737,0.00012706962,148.4107,46.8662,266.66382,30.129988,0.87833214,57.680767,64.90177,50.68319,0.003253545,93.31306,1.5192324,3.8877008,0.03625402
