min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.4028,0.24702234432234402,0.2567,0.07298843527094828,0.1334625,0.3678125,0.135525,0.356175,2004.0,149.0,12.0
0.1326,0.4023,0.2473423076923075,0.25715,0.07303306870319821,0.1334625,0.367625,0.135525,0.356225,2004.0,149.0,13.0
0.1326,0.4004,0.2491379120879121,0.26065,0.07330601518830904,0.1334625,0.3669625,0.1356,0.35657500000000003,2004.0,149.0,14.0
0.1326,0.3975,0.2528410256410256,0.2662,0.07398841988521761,0.1334625,0.367275,0.13574999999999998,0.357225,2004.0,149.0,15.0
0.1326,0.3948,0.259008424908425,0.27549999999999997,0.07513768720810099,0.13362500000000002,0.3696625,0.1362,0.359075,2004.0,149.0,16.0
0.1326,0.3936,0.26823369963369986,0.2877,0.07657694169830487,0.1338625,0.3753875,0.1368,0.363375,2004.0,149.0,17.0
0.1326,0.399,0.2809003663003659,0.30705,0.07756201046746716,0.1342625,0.3788875,0.1383,0.3708,2004.0,149.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,5.0
0.1326,0.4045,0.2916357142857145,0.321,0.07664963531360766,0.1351,0.3845625,0.140925,0.37515,2004.0,150.0,6.0
0.1326,0.3955,0.2772478021978022,0.30015000000000003,0.07671996381889012,0.1343625,0.375575,0.13824999999999998,0.3678,2004.0,150.0,7.0
